Line ID,Wavelength
(14-2),1280.5
(14-3),1315.7
(14-4),1352.4
(14-5),1390.7
(14-7),1472.6
(14-8),1516.3
(14-10),1610.1
(14-12),1713.2
(1-1),1560.2
(1-3),1669.9
(0-1),1597.3
(0-2),1653.2
(0-3),1712.4
